id,topic,question,ground_truth,expected_sources,expected_pages,expected_chunk_ids,expected_slide,review_needed,notes
1,fundamentals,What is machine learning?,"Machine learning is the process of solving a practical problem by collecting a dataset and training a statistical model from that dataset.",Machine Learning Engineering (Andriy Burkov) (Z-Library).pdf,13,c3dc77ad10dbc583052ace2393ae102073a602c9,"",no,"Definition appears on page 13."
2,fundamentals,What are the two main steps of a machine learning project?,"Goal definition and data collection and preparation.",Machine Learning Engineering (Andriy Burkov) (Z-Library).pdf,29,9ba057a26b68aab35948eb5f2f18ea4eef8f275,"",no,"The text on page 29 lists the stages of the machine learning project life cycle."
3,fundamentals,What are the three main factors that influence the cost of a machine learning project?,"The three main factors are the difficulty of the problem, the cost of data, and the need for accuracy.",Machine Learning Engineering (Andriy Burkov) (Z-Library).pdf,33,46d9a8b02bcbe05aacc809837d5c12897f280970,"",no,"The answer is explicitly stated in section 2.1.2, Cost of Machine Learning, on page 33."
4,fundamentals,What are the preconditions for supervised learning?,"The preconditions are: having a labeled dataset; splitting it into training, validation, and test subsets; ensuring validation and test examples are statistically similar; engineering features and filling missed values using only training data; converting all examples into numerical feature vectors; selecting a performance metric that returns a single number; and having a baseline.",Machine Learning Engineering (Andriy Burkov) (Z-Library).pdf,146,c7e2c829e3751f578004d1d15ae56613d0747e09,"",no,"The seven preconditions are explicitly listed in Section 5.1.6, Preconditions for Supervised Learning."
5,fundamentals,What is a feature vector?,"A feature vector is a vector in which each dimension contains a value that describes an example. Each value is called a feature.",Machine Learning Engineering (Andriy Burkov) (Z-Library).pdf,14,"ab8f6e5d4b3a0bdc6bffa360835efc28eeb6c75d;7bb1233b1639a1260efd941dbfabba58153ef103","",no,"Definition and example are explained across two consecutive chunks on page 14."
6,supervised_learning,What is the target in supervised learning?,"The target is the value or label the supervised model learns to predict.",Machine Learning Engineering (Andriy Burkov) (Z-Library).pdf,14,"102785276f2af27f73b464c9a178e05cb6046cb9","",no,"The definition of target appears on page 14."
7,supervised_learning,What is the difference between classification and regression?,"Classification predicts discrete classes while regression predicts continuous values.",Machine Learning Engineering (Andriy Burkov) (Z-Library).pdf,"20;21","76b3c2398ee892fa0b4db808dd83a2e79b30ecfc;38a4d57b02fd0965a95912056283097b2fd366ec;7f63cad889c69fd26b4d90f774ebe10be9d50cc",,"no","Definition spans pages 20 and 21."
8,unsupervised_learning,What is unsupervised learning?,"Unsupervised learning works with unlabeled data to discover useful structures or patterns.",Machine Learning Engineering (Andriy Burkov) (Z-Library).pdf,"15","10f88aa14fc0a4885a5d38903113385e7a7acc05;f793e00861982f00214963c8d300f954b05ab20f",,"no","Definition spans two consecutive chunks on page 15."
9,unsupervised_learning,What are three common tasks performed in unsupervised learning?,"Three common tasks are clustering, dimensionality reduction, and outlier detection.",Machine Learning Engineering (Andriy Burkov) (Z-Library).pdf,"15;16","f793e00861982f00214963c8d300f954b05ab20f;7c98104707daaf9e85e844b051183a974abdab60;e9681b165d668ead817163980b2fa68776400ac8",,no,"The three tasks are described across three chunks on pages 15 and 16."
10,unsupervised_learning,What is clustering used for?,"Clustering groups similar objects together and can be used to identify representative groups.",Machine Learning Engineering (Andriy Burkov) (Z-Library).pdf,7,,"f793e00861982f00214963c8d300f954b05ab20f",yes,"May also overlap with neighboring chunks."
